lease_bs_brand_jqxx.brandid,lease_bs_brand_jqxx.brandname,lease_bs_brand_jqxx.brandnameen,lease_bs_brand_jqxx.brandnamech,lease_bs_brand_jqxx.recordstatus,lease_bs_brand_jqxx.formatname,lease_bs_brand_jqxx.mainformatname,lease_bs_brand_jqxx.detailformatname
1027347,徐亮胖哥烤蹄,xuliangpanggekaoti,徐亮胖哥烤蹄,ACTIVE,餐饮美食,简餐,特色小吃
1030290,四方格欢乐火锅,无,四方格欢乐火锅,ACTIVE,餐饮美食,锅类,川渝火锅
1030265,MINIONS,MINIONS,MINIONS,ACTIVE,儿童业态,儿童零售,儿童服饰
1030254,吉合烤饼,无,吉合烤饼,ACTIVE,餐饮美食,简餐,特色小吃
1030260,有饭儿餐厅,无,有饭儿餐厅,ACTIVE,餐饮美食,简餐,中式快餐
1030234,Lucky Fruit,Lucky Fruit,Lucky Fruit,ACTIVE,餐饮美食,饮品烘焙,果汁
1030236,永好酸辣粉,无,永好酸辣粉,ACTIVE,餐饮美食,简餐,米线/米粉
1030061,港餐,港餐,港餐,ACTIVE,餐饮美食,简餐,茶餐厅
1030067,吴小姐炒酸奶,吴小姐炒酸奶,吴小姐炒酸奶,ACTIVE,餐饮美食,饮品烘焙,冰淇淋
1030138,珍美尔,zmeier,珍美尔,ACTIVE,生活精品,黄金珠宝,钻石
1029852,尊品牛排,ZUNPIN,尊品牛排,ACTIVE,餐饮美食,异国餐饮,法餐
1030160,天然居,无,天然居,ACTIVE,生活精品,烟酒食品,烟酒茶
1030087,红镯子,无,红镯子,ACTIVE,服装服饰,女装,淑女
1030235,NE Wear,NE Wear,NE Wear,ACTIVE,服装服饰,男女集合,国内休闲
1017937,中国联通,CHINA UNICOM,中国联通,ACTIVE,体验业态,生活服务,旅游通讯
1030259,袋鼠皮具,无,袋鼠皮具,ACTIVE,生活精品,鞋品箱包,箱包
1031127,庄记潮流馆,无,庄记潮流馆,ACTIVE,服装服饰,男女集合,国内休闲
1031130,壹顿,无,壹顿,ACTIVE,餐饮美食,异国餐饮,法餐
1031022,茗少小吃,mingshaoxiaochi,茗少小吃,ACTIVE,餐饮美食,简餐,特色小吃
1030227,NULALA,NULALA,NULALA,ACTIVE,生活精品,鞋品箱包,鞋品
1031140,五月天,MayDay,五月天,ACTIVE,生活精品,家居家用,家居家饰
1031148,朵澜思女子会所,无,朵澜思女子会所,ACTIVE,体验业态,专业美护,美容美发
1031113,贝贝儿童百货,无,贝贝儿童百货,ACTIVE,儿童业态,儿童零售,儿童服饰
1031115,丽歌,LIGEO,丽歌,ACTIVE,服装服饰,女装,淑女
1031117,总统慢跑鞋+天伦天,New bunren+Telent,总统慢跑鞋+天伦天,ACTIVE,生活精品,鞋品箱包,鞋品
1031116,极限漂移,jxpy,极限漂移,ACTIVE,体验业态,文化娱乐,室内休闲娱乐
1028629,Zola,Zola,Zola,ACTIVE,生活精品,个人护理,化妆品集合店
1028911,比萨客,pizza care,比萨客,ACTIVE,餐饮美食,异国餐饮,意餐
1028908,夏克妞妞,无,夏克妞妞,ACTIVE,餐饮美食,饮品烘焙,奶茶
1028933,友渔坊,无,友渔坊,ACTIVE,餐饮美食,中餐,粤菜（海南菜）
1028944,天鹿,无,天鹿,ACTIVE,餐饮美食,中餐,时尚融合菜
1028921,蒸有味,zhenyouwei,蒸有味,ACTIVE,餐饮美食,简餐,中式快餐
1028898,三文鱼专家,无,三文鱼专家,ACTIVE,餐饮美食,异国餐饮,日式料理
1029540,坤娜博士医美体验馆,QUENA,坤娜博士医美体验馆,ACTIVE,体验业态,专业美护,美容美发
1029553,EPY,EPY,EPY,ACTIVE,服装服饰,男女集合,国内休闲
1029554,保罗骑仕皮具,无,保罗骑仕皮具,ACTIVE,生活精品,鞋品箱包,箱包
1029585,白孔雀舞蹈学校,无,白孔雀舞蹈学校,ACTIVE,儿童业态,儿童教育,儿童培训
1029548,4cm+4mc,4cm+4mc,4cm+4mc,ACTIVE,服装服饰,男装,潮流
1029575,骁骑营跑跑堂,无,骁骑营跑跑堂,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1029574,卡乐熊,无,卡乐熊,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1029565,悠游旅行社,无,悠游旅行社,ACTIVE,体验业态,生活服务,旅游通讯
1028607,东红源,donghongyuan,东红源,ACTIVE,生活精品,家居家用,家居家饰
1028619,forest taste,forest taste,forest taste,ACTIVE,餐饮美食,饮品烘焙,果汁
1028808,简不,JB,简不,ACTIVE,服装服饰,女装,少淑女
1028779,澳洲进口食品,无,澳洲进口食品,ACTIVE,生活精品,烟酒食品,零食
1029680,花托蝎,无,花托蝎,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1029657,非莫薯,无,非莫薯,ACTIVE,餐饮美食,异国餐饮,西式简餐
1028490,小海螺美食城,无,小海螺美食城,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1028716,寒鹭,HANLU,寒鹭,ACTIVE,服装服饰,女装,少淑女
1028786,dauhndi,dauhndi,dauhndi,ACTIVE,服装服饰,男装,潮流
1029460,明洞雪冰,明洞雪冰,明洞雪冰,ACTIVE,餐饮美食,饮品烘焙,冰淇淋
1029536,火锅英雄,无,火锅英雄,ACTIVE,餐饮美食,锅类,川渝火锅
1029515,六盘红,六盘红,六盘红,ACTIVE,餐饮美食,中餐,西北菜
1029524,古树叶,ancient leaf,古树叶,ACTIVE,服装服饰,女装,少淑女
1028403,小马车,无,小马车,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1028392,拇指家,无,拇指家,ACTIVE,体验业态,生活服务,其他生活服务
1028455,皇室皮草,ROYAL FURS,皇室皮草,ACTIVE,服装服饰,男女集合,国内休闲
1028476,亨瑞,无,亨瑞,ACTIVE,生活精品,钟表,钟表
1028471,中通数码,无,中通数码,ACTIVE,生活精品,数码电子,数码集合
1028555,ET电子竞技场,ET,ET电子竞技场,ACTIVE,体验业态,文化娱乐,室内休闲娱乐
1028613,婚礼梦工厂,无,婚礼梦工厂,ACTIVE,体验业态,生活服务,婚庆花艺
1030752,TH眼镜,无,TH眼镜,ACTIVE,生活精品,杂品配饰,眼镜
1030751,胜者体育,SZTY,胜者体育,ACTIVE,生活精品,运动,时尚运动
1030669,堂果,无,堂果,ACTIVE,服装服饰,女装,少淑女
1030672,OEFANG,无,OEFANG,ACTIVE,服装服饰,女装,少淑女
